# these edges should never be in the same cluster
0,1841629,388259
0,1841629,2244978
0,716605,600983
0,46484,1205806
0,46484,1580210
0,2028348,1518160
0,2231995,1417668
0,1246128,2137219
0,1246128,1653092
0,1883747,1503000
0,1604823,486627
0,1021288,193883
0,2223820,2236964
0,1304075,824621

# 11 June - Daniel
0,515919,1564543
0,494724,1319351
0,494724,825097
0,1135169,494724
0,883480,906986
0,2189458,883480
0,2189458,906986

# 11 June
0,95346,761486
0,143953,1469883
0,391670,2138150
0,80684,391670
0,19816,1439786
0,971259,1943009
0,331867,363526
0,331867,1580775
0,120694,595240
0,120694,1137067
0,595240,1137067
0,120694,344790
0,595240,1828342
0,1137067,344790
0,1091229,1628420
0,341710,1119987
0,341710,1224193
0,341710,2199819
0,1119987,1224193
0,1119987,2199819
0,1224193,2199819
0,1567716,1825451
0,1825451,2126616
0,1567716,2126616
0,1438010,1455513
0,1455513,1626977
0,1304954,1542025
0,1542025,1785006
0,1304954,1785006
0,580656,1216535
0,1216535,1360688
0,580656,1360688
0,534968,1222046
0,125283,1897287
0,1262584,1908595
0,66801,1262584
0,1183076,1282292
0,1282292,1711868
0,1183076,1711868
0,1122750,1395174
0,1395174,1958280
0,1122750,1958280
0,487070,769627
0,1468405,1523996
0,478874,720371
0,158752,548003
0,93570,1237909
0,1161801,1551369
0,30491,1006872
0,15317,243759

# 11 June night Derek
0,702006,2266632
0,1557757,2039429
0,2185458,702006
0,2185458,2039429

# 12 June Daniel
0,142821,1806984
0,1806984,450448
0,450448,142821
0,2287442,1146745
0,2287442,1595001
0,2287442,1758955
0,2287442,670796
0,2287442,1778584
0,2287442,2036805
0,2287442,2248137
0,868098,75486
0,75486,1144702
0,582743,2041349
0,582743,2286451
0,1871310,632953
0,1295321,632953
