1,21211,1260279
0,63438,2215418
0,109704,557383
0,156000,285198
0,203948,1059436
0,251845,281466
0,300987,1661716
1,346158,1071630
0,395326,1391580
0,445435,1070026
0,500661,1477860
0,559485,694605
0,619175,1826268
0,683115,1669928
0,743121,2063696
0,809892,1091367
0,877641,1299479
0,948999,1315061
0,1031316,1755534
0,1104875,2153746
0,1190008,2089356
0,1294718,1718688
0,1399192,1688795
1,1520535,1978834
0,1667756,2048535
0,1859706,2066666
0,42487,2030256
0,86341,1532524
0,133152,482354
0,180636,2262452
0,224755,1141801
0,274891,378716
1,323172,1485573
0,369817,554463
0,418435,1973875
0,474014,2221206
0,531412,1165761
0,588751,1597680
0,652845,1489960
1,711645,2204585
0,778824,811189
0,841328,2223312
0,912762,2192909
0,987804,2245954
0,1066219,1466460
0,1148456,1552297
0,1242773,1818461
0,1343574,1991933
0,1459573,1849435
1,1582876,1818144
0,1753048,2135028
1,1997195,2063275
0,11162,2135362
0,51862,697236
0,98829,410035
0,143614,2051260
0,192491,968210
1,238427,1431629
1,287776,760035
0,334648,1971452
0,382815,666618
0,431104,1912269
0,487564,1969430
0,544590,2137314
0,603298,1584773
0,667362,1275948
0,727075,1526381
0,795972,1293619
0,860096,1034597
0,930850,1552270
0,1010294,1215580
0,1083200,2003282
0,1169895,1642277
0,1268975,1359186
0,1368896,1969243
0,1488064,1895022
0,1627027,2034801
0,1804306,2115750
0,2089127,2117444
1,30708,1785006
0,75729,206127
0,120168,2229002
0,169521,797443
0,214210,847457
0,263166,2048225
0,310980,579554
0,358306,1709947
0,406822,1965743
0,461507,958044
0,516747,1564668
0,575410,774784
0,637000,2002566
0,697236,1369675
0,761887,1323399
0,825227,1145372
0,896078,1966910
0,967344,1123935
0,1048654,1384689
0,1125535,1341902
0,1216795,2060163
0,1316711,1724582
0,1429502,1834335
0,1547804,2128944
0,1710529,1960553
0,1928268,2022135
0,5735,48973
0,47052,156121
0,92464,1724188
0,138246,1273367
0,186343,1504191
0,230270,1085741
0,281680,2233776
1,329384,2064626
0,375821,934948
0,425145,846147
0,480626,2246355
0,538116,672216
0,595734,995799
1,659885,1478535
0,719547,1803509
0,786632,1725842
1,851469,1648958
0,922417,1520003
0,999042,1051869
0,1075016,2220672
0,1158401,1632293
0,1254614,2173872
0,1357803,2247736
0,1473100,2046482
0,1603309,2216968
0,1779031,1933584
0,2038194,2064025
0,16351,1551900
0,58732,167190
0,104112,876066
0,149532,206272
0,197876,1493115
0,245402,1389969
0,294924,999823
0,340380,1392197
0,388977,1473972
0,438553,834528
0,493897,651756
0,552752,2246071
0,613103,1064739
0,675458,2204128
1,736382,931520
0,802186,2064765
0,868373,1966395
0,939747,1040478
0,1020446,1986007
0,1093827,1716634
0,1178978,1461196
0,1282292,2287155
0,1384220,2070231
0,1505682,1645931
0,1647406,2142969
0,1830977,2088575
0,2176861,2237558
0,25316,2249918
0,69533,1040824
0,115062,2248135
1,162549,666278
0,209871,573868
0,258012,645999
0,305952,1491897
0,352122,1613813
0,400996,1770228
0,452934,484659
0,507980,2010682
0,567140,736250
0,627572,1598778
1,690495,1768931
0,752550,2224956
0,816882,1399650
0,885881,2028355
0,957479,1919340
1,1039570,1504327
0,1113784,2026369
0,1205054,1691754
0,1305584,2227587
0,1413042,1564812
0,1534620,1639429
0,1685569,2200344
0,1893309,2264464
0,37064,690135
0,81080,1555756
0,126246,1387171
0,174836,225480
0,219671,398665
0,270198,2112696
0,316848,713338
0,363714,448807
0,412777,731783
0,468331,1105767
0,523847,1134596
0,581988,2209510
0,644786,2136013
0,703876,964824
0,769342,1643978
0,832643,1587166
0,902539,2179688
0,978710,1337005
0,1057237,1278978
0,1137206,2258784
0,1229287,1737582
0,1328991,2199541
0,1442700,1463967
0,1565934,1701408
0,1730376,2137825
0,1959693,2077320
